一级分类,二级分类,原始链接名称,原始链接URL,状态,RSS/候选名称,RSS/候选URL,备注,来源信息分类,是否模型相关,是否推理加速相关,是否智能体系统相关,是否AI应用相关,是否设备供应商相关,是否通信服务提供商相关,是否云基础设施相关,是否硬件（芯片和硬件热点新闻）相关,是否基础竞争力相关,Folo复核状态,Folo复核标题,Folo复核RSS,Folo复核站点,Folo复核条目数,Folo复核备注,Folo复核时间,FoloCLI补充状态,FoloCLI补充标题,FoloCLI补充RSS,FoloCLI补充条目数,FoloCLI补充备注
学术 / 研究,,IEEE Spectrum,https://spectrum.ieee.org,已确认,IEEE Spectrum RSS,https://spectrum.ieee.org/feeds/feed.rss,官方文章流,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
开源 / 平台,,Stack Overflow,https://stackoverflow.com,非文章页,,,问答站，不是文章页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
标准 / 组织,,IEEE Standards News,https://standards.ieee.org/news/,未确认,IEEE Standards Association,https://standards.ieee.org/feed,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,IEEE Standards Association,https://standards.ieee.org/feed,https://standards.ieee.org/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:42:43,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,美团技术,https://tech.meituan.com/,未确认,ç¾å¢ææ¯å¢é,https://tech.meituan.com/feed/,技术博客首页,技术博客,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,已确认,ç¾å¢ææ¯å¢é,https://tech.meituan.com/feed/,https://tech.meituan.com/feed/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:48:59,,,,,
AI / 科技媒体,,TechCrunch AI,https://techcrunch.com/category/artificial-intelligence/,已确认,TechCrunch AI Feed,https://techcrunch.com/category/artificial-intelligence/feed/,分类文章流,行业新闻,弱相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,The Green Grid,https://thegreengrid.org/news-events/,未确认,,,行业组织新闻页,行业新闻,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,强相关,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:37:46,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,The New Stack Newsletter,https://thenewstack.io/newsletter/,非文章页,,,Newsletter 订阅页，不是文章 RSS 页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
AI / 科技媒体,,VentureBeat AI,https://venturebeat.com/category/ai/,已确认,VentureBeat AI Feed,https://venturebeat.com/category/ai/feed/,分类文章流,行业新闻,弱相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,华尔街见闻 - TMT,https://wallstreetcn.com/news/tmt,未确认,,,TMT 频道页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:39:01,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,36氪 - hot-list / catalog,https://www.36kr.com/hot-list/catalog,非文章页,,rsshub://36kr/hot-list,热榜页，不是文章 RSS 页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,36氪 - hot-list / renqi,https://www.36kr.com/hot-list/renqi,非文章页,,rsshub://36kr/hot-list,热榜页，不是文章 RSS 页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
标准 / 组织,,3GPP News,https://www.3gpp.org/news-events,未确认,,,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:34:59,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,3GPP News,https://www.3gpp.org/news-events/3gpp-news,未确认,,,3GPP 新闻页,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:41:31,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,阿里云博客,https://www.alibabacloud.com/blog,未确认,,,云技术博客,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,强相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:45:43,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,Amazon Science,https://www.amazon.science/,未确认,Amazon Science homepage,https://www.amazon.science/index.rss,科研文章站,学术论文,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,Amazon Science homepage,https://www.amazon.science/index.rss,https://www.amazon.science/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:52:45,,,,,
AI / 科技媒体,,Anthropic News,https://www.anthropic.com/news,已确认（替代）,Anthropic News RSS,https://rsshub.bestblogs.dev/anthropic/news,通过 RSSHub 路由读取官方新闻页,技术博客,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
开源 / 平台,,Apache,https://www.apache.org,未确认,Flink Blog on Apache Flink,https://flink.apache.org/posts/index.xml,暂未找到稳定文章 RSS,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,不涉及,强相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:44:50,verified,Flink Blog on Apache Flink,https://flink.apache.org/posts/index.xml,4,官方替代源：Apache 子项目 Flink 博客。
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Apple Newsroom,https://www.apple.com/newsroom/,未确认,Apple Newsroom,https://www.apple.com/newsroom/rss-feed.rss,新闻主页,设备供应商动态,不涉及,不涉及,不涉及,弱相关,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:44:21,verified,Apple Newsroom,https://www.apple.com/newsroom/rss-feed.rss,4,官方 RSS。
芯片 / 硬件,,Arm News,https://www.arm.com/company/news,未确认,News Archive - Arm Newsroom,https://newsroom.arm.com/news/feed/,暂未找到稳定文章 RSS,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,已确认,News Archive - Arm Newsroom,https://newsroom.arm.com/news/feed/,https://newsroom.arm.com/news,4,Official Arm newsroom feed on dedicated subdomain.,2026-04-26T01:35:35,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,arXiv Daily,https://www.arxivdaily.com/,未确认,,,论文精选站点,学术论文,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:53:36,,,,,
芯片 / 硬件,,ASML News,https://www.asml.com/en/news,未确认,,,暂未找到稳定文章 RSS,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:44:47,,,,,
芯片 / 硬件,,Broadcom News,https://www.broadcom.com/company/news,已确认（替代）,Broadcom IR News RSS,https://investors.broadcom.com/rss/news-releases.xml,官方 IR 新闻流,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,C114 首页,https://www.c114.com.cn/,未确认,滚动资讯 - C114通信网,https://etc-rssh-ub.vercel.app/c114/roll,通信行业媒体主页,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:43:40,verified,滚动资讯 - C114通信网,https://etc-rssh-ub.vercel.app/c114/roll,4,第三方候选：C114 滚动资讯流。
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,C114 通信网 - 本地,https://www.c114.com.cn/local/,未确认,滚动资讯 - C114通信网,https://etc-rssh-ub.vercel.app/c114/roll,通信新闻频道,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:41:29,verified,滚动资讯 - C114通信网,https://etc-rssh-ub.vercel.app/c114/roll,4,第三方候选：C114 滚动资讯流。
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,C114 通信网 - 技术,https://www.c114.com.cn/tech/169.html,未确认,C114中国通信网_电信运营商,https://www.c114.com.cn/rss/rss_news_21.xml,技术频道,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:50:16,verified,C114中国通信网_电信运营商,https://www.c114.com.cn/rss/rss_news_21.xml,4,官方 RSS。
开源 / 平台,,CNCF Blog,https://www.cncf.io/blog/,已确认,CNCF Blog Feed,https://www.cncf.io/blog/feed/,官方博客,开源动态,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,CrewAI Blog,https://www.crewai.com/blog,未确认,CrewAI,https://blog.crewai.com/rss/,官方博客,技术博客,不涉及,不涉及,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:36:53,verified,CrewAI,https://blog.crewai.com/rss/,4,官方 RSS。
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Dark Reading - AI,https://www.darkreading.com/cyber-risk/artificial-intelligence,未确认,darkreading,https://www.darkreading.com/rss.xml,安全媒体专题页,行业新闻,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,darkreading,https://www.darkreading.com/rss.xml,https://www.darkreading.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:38:20,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Data Center Dynamics,https://www.datacenterdynamics.com/,未确认,,,数据中心行业媒体,行业新闻,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,强相关,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:46:34,,,,,
AI / 科技媒体,,DeepSeek,https://www.deepseek.com/,已确认（替代）,DeepSeek News RSS,https://rsshub.bestblogs.dev/deepseek/news,可读的是 DeepSeek 新闻或文档文章流,技术博客,强相关,弱相关,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
开源 / 平台,,Eclipse,https://www.eclipse.org,已确认（替代）,Eclipse Blogs Feed,https://blogs.eclipse.org/blog/feed,官方博客流,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,Ericsson Blog,https://www.ericsson.com/en/blog,未确认,Latest news,"https://www.ericsson.com/en/newsroom/latest-news/feed?typeFilters=1,2,3,4&disableLocationDetect=true",技术博客,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,不涉及,弱相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:41:12,verified,Latest news,"https://www.ericsson.com/en/newsroom/latest-news/feed?typeFilters=1,2,3,4&disableLocationDetect=true",4,官方替代源：Ericsson Latest News feed。
企业 / 云,,Ericsson News,https://www.ericsson.com/en/news,已确认,Ericsson Feed,"https://www.ericsson.com/en/newsroom/latest-news/feed?typeFilters=1,2,3,4&disableLocationDetect=true",官方新闻流,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,不涉及,弱相关,不涉及,,,,,,,,,,,,
标准 / 组织,,ETSI News Events,https://www.etsi.org/news-events,已确认（替代）,ETSI Feed,https://www.etsi.org/feed/,站点官方 feed，可覆盖新闻更新,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,Fierce Wireless,https://www.fiercewireless.com/,未确认,,,行业媒体主页,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:49:49,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Google Cloud Press Corner,https://www.googlecloudpresscorner.com/,未确认,Press Releases,https://www.googlecloudpresscorner.com/press-releases?pagetemplate=rss,官方新闻页,云厂商,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,弱相关,已确认,Press Releases,https://www.googlecloudpresscorner.com/press-releases?pagetemplate=rss,https://www.googlecloudpresscorner.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:46:18,,,,,
标准 / 组织,,GSMA Newsroom,https://www.gsma.com/newsroom/,已确认,GSMA Feed,https://www.gsma.com/newsroom/feed/,官方新闻,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,GSMArena News,https://www.gsmarena.com/news.php3,未确认,GSMArena.com - Latest articles,https://www.gsmarena.com/rss-news-reviews.php3,手机行业新闻页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:44:30,verified,GSMArena.com - Latest articles,https://www.gsmarena.com/rss-news-reviews.php3,4,官方 RSS。
标准 / 组织,,GTI Group,https://www.gtigroup.org/,未确认,,,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:44:10,,,,,
企业 / 云,,Huawei News,https://www.huawei.com/en/news,候选,Huawei Central Feed,https://www.huaweicentral.com/feed/,第三方站点，不算官网确认,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,不涉及,弱相关,不涉及,候选,Huawei Central,https://www.huaweicentral.com/feed/,https://www.huaweicentral.com/,4,"Recovered from earlier Folo run; third-party feed, not official Huawei site.",2026-04-26T09:41:51,verified,安全公告,https://www.huawei.com/cn/rss-feeds/psirt/rss,4,官方替代源：华为安全公告 RSS，不是原新闻页。
标准 / 组织,,IEC News,https://www.iec.ch/news,未确认,,,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:35:56,,,,,
标准 / 组织,,IETF Blog,https://www.ietf.org/blog/,未确认,IETF Blog,https://www.ietf.org/blog/feed/,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,已确认,IETF Blog,https://www.ietf.org/blog/feed/,https://www.ietf.org/blog/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:35:51,,,,,
中文科技媒体,,InfoQ 中文,https://www.infoq.cn,已确认,InfoQ CN Feed,https://www.infoq.cn/feed,官方文章流,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,InfoQ AI,https://www.infoq.cn/topic/ai,候选,InfoQ CN Feed,https://www.infoq.cn/feed,只确认到站点总 feed,行业新闻,弱相关,不涉及,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,已确认,InfoQ - ä¿è¿è½¯ä»¶å¼åé¢åç¥è¯ä¸åæ°çä¼ æ­,https://www.infoq.cn/feed.xml,https://www.infoq.cn/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:47:47,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,InfoQ AI & LLM,https://www.infoq.cn/topic/AI&LLM,候选,InfoQ CN Feed,https://www.infoq.cn/feed,只确认到站点总 feed,行业新闻,弱相关,不涉及,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,已确认,InfoQ - ä¿è¿è½¯ä»¶å¼åé¢åç¥è¯ä¸åæ°çä¼ æ­,https://www.infoq.cn/feed,https://www.infoq.cn/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:39:15,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,InfoQ 云计算,https://www.infoq.cn/topic/cloud-computing,候选,InfoQ CN Feed,https://www.infoq.cn/feed,只确认到站点总 feed,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,弱相关,已确认,InfoQ - ä¿è¿è½¯ä»¶å¼åé¢åç¥è¯ä¸åæ°çä¼ æ­,https://www.infoq.cn/feed,https://www.infoq.cn/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:48:50,,,,,
芯片 / 硬件,,Intel Newsroom,https://www.intel.com/content/www/us/en/newsroom/home.html,未确认,,,暂未找到稳定文章 RSS,设备供应商动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:43:24,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Intel AI,https://www.intel.com/content/www/us/en/newsroom/resources/ai.html,未确认,Newsroom,https://newsroom.intel.com/feed,Intel AI 资源页,设备供应商动态,强相关,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:45:20,verified,Newsroom,https://newsroom.intel.com/feed,4,官方替代源：Intel Newsroom feed。
标准 / 组织,,ISO News,https://www.iso.org/news.html,未确认,,,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:35:07,,,,,
标准 / 组织,,ITU Media Centre,https://www.itu.int/en/mediacentre/Pages/default.aspx,未确认,,,暂未找到稳定文章 RSS,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:44:01,,,,,
中文科技媒体,,机器之心,https://www.jiqizhixin.com,候选,机器之心 RSS,https://www.jiqizhixin.com/rss,内容可读，但 Folo 返回状态字段异常,行业新闻,弱相关,不涉及,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,已确认,机器之心,https://www.jiqizhixin.com/rss,https://www.jiqizhixin.com/,4,Folo returns entries despite errorMessage=200 OK; treated as usable official feed.,2026-04-26T09:42:49,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,Light Reading,https://www.lightreading.com/,未确认,lightreading,https://www.lightreading.com/rss.xml,行业媒体主页,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,已确认,lightreading,https://www.lightreading.com/rss.xml,https://www.lightreading.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:39:50,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,LinkResearcher - theses,https://www.linkresearcher.com/theses?filters.onlineTime&filters.status=true&filters.subject=%E8%AE%A1%E7%AE%97%E6%9C%BA&query=,非文章页,,,论文检索页,学术论文,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
开源 / 平台,,Linux Foundation Press,https://www.linuxfoundation.org/press/,未确认,Linux Foundation - Press Releases,https://www.linuxfoundation.org/press/rss.xml,暂未找到稳定文章 RSS,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,不涉及,强相关,已确认,Linux Foundation - Press Releases,https://www.linuxfoundation.org/press/rss.xml,https://www.linuxfoundation.org/press,4,Confirmed by Folo feeds lookup.,2026-04-26T01:36:00,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Marvell - Blogs,https://www.marvell.com/blogs.html,未确认,,,官方博客页,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:56:00,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Marvell - Press Releases,https://www.marvell.com/company/newsroom/press-releases.html,未确认,,,新闻稿页,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:44:22,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Meta AI - AR / 眼镜,https://www.meta.com/realities/,非文章页,,,产品或业务页，不是文章 RSS 页,设备供应商动态,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
芯片 / 硬件,,Micron Newsroom,https://www.micron.com/about/newsroom,未确认,,,暂未找到稳定文章 RSS,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:36:06,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,Microsoft Research,https://www.microsoft.com/en-us/research/,未确认,Microsoft Research,https://www.microsoft.com/en-us/research/feed,研究院主页,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,Microsoft Research,https://www.microsoft.com/en-us/research/feed,https://www.microsoft.com/en-us/research/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:45:08,,,,,
学术 / 研究,,Microsoft Research Blog,https://www.microsoft.com/en-us/research/blog/,未确认,Microsoft Research,https://www.microsoft.com/en-us/research/feed,暂未找到稳定文章 RSS,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:36:25,verified,Microsoft Research,https://www.microsoft.com/en-us/research/feed,4,官方替代源：Microsoft Research 总 feed。
AI / 科技媒体,,MiniMax News,https://www.minimaxi.com/news,未确认,MiniMax 稀宇科技,https://wechat2rss.bestblogs.dev/feed/00306b171f754d463b28cf83f3ba086ad009b430.xml,暂未找到稳定文章 RSS,技术博客,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:42:14,verified,MiniMax 稀宇科技,https://wechat2rss.bestblogs.dev/feed/00306b171f754d463b28cf83f3ba086ad009b430.xml,4,第三方候选：公众号文章流。
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,智谱AI / MITTR China News,https://www.mittrchina.com/news,未确认,,,配置名与 URL 不一致，实际是 MITTR China 新闻页,行业新闻,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:39:39,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,MITTR China - News Detail,https://www.mittrchina.com/news/detail/16216,非文章页,,,单篇详情页，不适合作为 RSS 入口,行业新闻,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,Mobile World Live,https://www.mobileworldlive.com/,未确认,Mobile World Live,https://www.mobileworldlive.com/feed/,GSMA 旗下媒体主页,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,已确认,Mobile World Live,https://www.mobileworldlive.com/feed/,https://www.mobileworldlive.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:43:34,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,MWC Barcelona,https://www.mwcbarcelona.com/news,未确认,,,MWC 新闻页,行业新闻,不涉及,不涉及,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:52:06,,,,,
学术 / 研究,,Nature Latest News,https://www.nature.com/latest-news,已确认,Nature RSS,https://www.nature.com/nature.rss,官方新闻流,学术论文,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
学术 / 研究,,Nature Communications,https://www.nature.com/ncomms,未确认,Nature Communications,https://www.nature.com/ncomms/rss.xml,暂未找到稳定文章 RSS,学术论文,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,已确认,Nature Communications,https://www.nature.com/ncomms/rss.xml,http://feeds.nature.com/ncomms/rss/current,4,Confirmed by Folo feeds lookup.,2026-04-26T01:36:26,,,,,
企业 / 云,,Nokia Newsroom,https://www.nokia.com/about-us/newsroom/,已确认（替代）,Nokia RSS,https://www.nokia.com/partner-releases-rss/,官方 feed，可读但偏 `partner releases`,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,不涉及,弱相关,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,电信 / 标准 / 行业媒体,Nokia Blog,https://www.nokia.com/blog/,未确认,,,技术博客,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,不涉及,弱相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:50:01,,,,,
开源 / 平台,,npm,https://www.npmjs.com,非文章页,,,包目录，不是文章页,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
企业 / 云,,Oracle News,https://www.oracle.com/news/,已确认（替代）,Oracle Blogs Feed,https://blogs.oracle.com/feed,官方博客流，不是 `news` 页原生 feed,云厂商,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Oracle AI & Cloud,https://www.oracle.com/news/author/oracle-ai/,未确认,,,Oracle AI 主题或作者页,云厂商,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,弱相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:36:43,,,,,
